location,name,in_sample,post_pub,post_sample,postpub_minus_insample
usa,age,-0.0002752224889684581,-0.0004908698500904119,0.0034991219758044438,-0.0002156473611219538
usa,aliq_at,0.0014569368764758214,-0.005487125045299632,0.0016091164379274311,-0.006944061921775453
usa,aliq_mat,-0.0035098126344109337,0.0017088548724624598,0.0036640279683177825,0.005218667506873394
usa,ami_126d,0.0017838341868434498,-0.0006444093375025337,0.002312167688213718,-0.0024282435243459834
usa,at_be,0.001158302514876636,-0.0009539069383446974,-0.0044163809831321,-0.0021122094532213336
usa,at_gr1,0.00458830310166948,-0.002047438959905536,-0.0019133265339896384,-0.006635742061575016
usa,at_me,0.0018679195658198046,-1.7282732945670053e-05,0.0032148632680396878,-0.0018852022987654747
usa,at_turnover,0.0017435854219056872,0.0032243050371209094,-0.0015765367522881802,0.0014807196152152222
usa,be_gr1a,0.001784685001314827,-0.0014875433912989531,0.0007581040630811187,-0.0032722283926137803
usa,be_me,0.008819304848720871,-0.0004182109596736699,-0.0007553809989079497,-0.00923751580839454
usa,beta_60m,-0.0033733379889909383,-0.0014858124719806726,0.011909272953725049,0.0018875255170102657
usa,beta_dimson_21d,-0.0004548598305251836,-0.0007549187745736666,-0.001568266828938055,-0.000300058944048483
usa,betabab_1260d,-0.00034598149282310663,-0.005977581343028631,0.0018676047649502706,-0.005631599850205524
usa,betadown_252d,-0.00055560875554181,-0.0038518625245179236,0.0026814679474410096,-0.0032962537689761135
usa,bev_mev,0.0026271530293639485,-0.0028140283007763575,0.0031415990194033484,-0.0054411813301403055
usa,bidaskhl_21d,0.0005704982541499949,-0.001606921187884003,-0.0012903447266576333,-0.002177419442033998
usa,capex_abn,0.0021158848483222004,0.0014928602788567096,0.006684383242441086,-0.0006230245694654908
usa,capx_gr1,0.0030386725088612327,0.0016577486006950448,0.006003526727653954,-0.001380923908166188
usa,capx_gr2,0.003130563286984165,2.5810944478251432e-05,0.005961281865458543,-0.0031047523425059135
usa,capx_gr3,0.0017482787847256437,-0.0011967900523267767,0.005799435977517008,-0.0029450688370524203
usa,cash_at,0.001617983893187435,0.0063629431148328535,-0.00029048913956513343,0.004744959221645419
usa,chcsho_12m,0.0037765259176496023,-0.0005374329457190039,0.0025307800314620195,-0.004313958863368606
usa,coa_gr1a,0.0030148765366952474,-0.0007918576001103555,-0.0015704999380942648,-0.003806734136805603
usa,col_gr1a,-0.0011592773223858895,-0.0021510751245613557,-0.0018066959116525396,-0.0009917978021754662
usa,cop_atl1,0.0029327320497095893,0.007195301128179428,0.0008072591635154082,0.004262569078469839
usa,corr_1260d,0.000842287915643139,-0.009961962002626267,-0.00238444767792194,-0.010804249918269405
